experiment_class,payment_rule,correlation,risk,player_position,batch_size,bne_utilities
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.0,1.0,1,17179869184,0.133992627
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.0,1.0,1,17179869184,0.133992627
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.0,1.0,2,17179869184,0.464034468
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.0,1.0,0,17179869184,0.125001848
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.0,1.0,1,17179869184,0.125001848
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.0,1.0,2,17179869184,0.499997467
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.0,1.0,0,17179869184,0.13316573199999998
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.0,1.0,1,17179869184,0.13316573199999998
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.0,1.0,2,17179869184,0.467340827
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.1,1.0,0,8589934592,0.13485810199999998
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.1,1.0,1,8589934592,0.134859174
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.1,1.0,2,8589934592,0.4708581570000001
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.2,1.0,0,8589934592,0.136517048
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.2,1.0,1,8589934592,0.136516929
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.2,1.0,2,8589934592,0.473828793
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.3,1.0,0,8589934592,0.138140455
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.3,1.0,1,8589934592,0.138138264
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.3,1.0,2,8589934592,0.476288319
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.4,1.0,0,8589934592,0.139717326
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.4,1.0,1,8589934592,0.139721438
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.4,1.0,2,8589934592,0.478257418
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.5,1.0,0,8589934592,0.141255587
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.5,1.0,1,8589934592,0.141256973
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.5,1.0,2,8589934592,0.479806542
